baf31c0 - cooljar, 2025-01-10 : -
85252d3 - Yovie Alfa Guistuta, 2025-01-01 : Trigger build
dfbdb9f - cooljar, 2024-12-24 : -
df05f29 - Kurnia Adiyoga, 2024-12-18 : fix prepare 2025
9a528e7 - Kurnia Adiyoga, 2024-12-18 : prepare penatausahan 2025
9f0abea - Kurnia Adiyoga, 2024-12-12 : turn off single login
a9b93a5 - cooljar, 2024-12-12 : prepare single device
0e9c34c - cooljar, 2024-12-12 : prepare single device
6715847 - cooljar, 2024-12-12 : prepare single device
810da07 - Kurnia Adiyoga, 2024-12-09 : fix bugs ketika admin / lembaga login
dd71d6f - Kurnia Adiyoga, 2024-12-09 : fix notif error
ae68082 - Kurnia Adiyoga, 2024-12-09 : fix notif salah confirm
2550b1b - Yovie Alfa Guistuta, 2024-12-05 : Trigger build 2
5ba871e - Yovie Alfa Guistuta, 2024-12-05 : Merge main
5804d58 - Yovie Alfa Guistuta, 2024-12-05 : Trigger build
f0e0c82 - Yovie Alfa Guistuta, 2024-12-05 : Trigger build
e140495 - Kurnia Adiyoga, 2024-12-05 : fix change password api
ae1c4c0 - Kurnia Adiyoga, 2024-12-04 : ubah flow amankan password
00161fc - Kurnia Adiyoga, 2024-12-03 : perbaikan gitlab ci if branch main
cb62c3a - Yovie Alfa Guistuta, 2024-12-03 : Turn off validation password default
b28116c - Kurnia Adiyoga, 2024-12-03 : tambah api untuk ganti password tanpa jwt
96a2ff4 - Kurnia Adiyoga, 2024-12-03 : cek apakah deffault password
b4814d1 - cooljar, 2024-10-30 : modify jwt
9467314 - cooljar, 2024-10-29 : add kode ddn to jwt
3a2127f - cooljar, 2024-10-13 : log number of cpu
1120bac - cooljar, 2024-10-11 : change env
7618608 - cooljar, 2024-09-18 : disable rate limiter
df16a67 - cooljar, 2024-09-18 : enable redis
9fcabf3 - cooljar, 2024-09-18 : disable redis
fa2088b - cooljar, 2024-09-18 : change readme
d3fdfdb - cooljar, 2024-09-18 : add redis
0fba416 - cooljar, 2024-09-18 : implementasi redis p2
aa693c4 - cooljar, 2024-09-18 : implementasi rete limiter
259c134 - cooljar, 2024-09-11 : change readme
7080a8e - cooljar, 2024-09-10 : optimize * to cors validation
e2826bf - cooljar, 2024-09-10 : add * origin filter to cors
e2b1d13 - cooljar, 2024-09-08 : move get pegawai detail to db connection
17b777a - cooljar, 2024-09-08 : move get pegawai detail to db connection
31f64e1 - cooljar, 2024-09-08 : edit message domain validation
f65725f - cooljar, 2024-09-08 : validate origin
6cb0095 - cooljar, 2024-09-08 : validate origin
9165525 - cooljar, 2024-09-08 : rev validate domain
b13ff2b - cooljar, 2024-09-08 : rev validate domain
af5637d - cooljar, 2024-09-08 : rev validate domain
a03c7e6 - cooljar, 2024-09-08 : whitelists domain
3c31770 - kurniaadiyoga, 2024-09-03 : akses BPK Pemda
4c1d723 - cooljar, 2024-09-01 : enable captcha
27d0853 - Yovie Alfa Guistuta, 2024-09-01 : Adding Role BPK
c07cdad - Yovie Alfa Guistuta, 2024-09-01 : Turn on captha
5283a6c - cooljar, 2024-09-01 : filter pipeline to main
eac6f87 - Yovie Alfa Guistuta, 2024-09-01 : Adding role BPK in profile
dd8d13d - cooljar, 2024-09-01 : vallidate BPK Pusat
3994595 - Administrator, 2024-07-15 : Update README.md
353333e - cooljar, 2024-07-13 : test deploy
742f491 - cooljar, 2024-07-08 : implementasi validasi captcha
b8d087e - cooljar, 2024-07-08 : disable captcha
0b6d673 - cooljar, 2024-07-08 : implement cptcha validation commented
f03c774 - cooljar, 2024-07-08 : implement cptcha validation commented
2b8ee75 - cooljar, 2024-07-08 : add captcha audio
1618b47 - cooljar, 2024-07-08 : remove captcha render method
229ed30 - cooljar, 2024-07-08 : add captcha test
475b3c3 - cooljar, 2024-06-07 : disable rl
c5b99d1 - cooljar, 2024-06-06 : enable rl
7653d38 - cooljar, 2024-06-04 : disalbe rm
03c8a31 - cooljar, 2024-06-03 : add security mdw
dbfd55e - cooljar, 2024-06-02 : add security feature s2
50172aa - cooljar, 2024-06-02 : add security feature
37dc789 - cooljar, 2024-05-31 : modify update password
cd8ad49 - cooljar, 2024-05-31 : modify update password
def74ac - cooljar, 2024-05-22 : lock login id daerah
ef6e707 - cooljar, 2024-05-21 : lock bypass role
3a42f0d - Ade Muchlis, 2024-02-23 : add filter login check daerah  where  is_deleted=0
6c297f1 - cooljar, 2024-02-21 : upgrade max conn to 1000
